Name,Position,Link\n
Lars Backstrom '09, - Facebook,http://www.cs.cornell.edu/~lars/\n
Eric Breck '08, - Rhodes College,http://www-personal.umich.edu/~ebreck/\n
Yejin Choi '10, - SUNY Stony Brook,http://www.cs.cornell.edu/~ychoi/\n
Cristian Danescu-Niculescu-Mizil '12, - MPI-SWS,http://www.cs.cornell.edu/~cristian/\n
Alin Dobra '03, - U. Florida,http://www.cs.cornell.edu/people/dobra/\n
Alexandre Evfimievski '04, - IBM Almaden,http://www.cs.cornell.edu/aevf/\n
Thomas Finley '08, - Microsoft,http://tfinley.net/\n
Brad Gulko,,http://compgen.cshl.edu/~bgulko/\n
Yunsong Guo '10, - Goldman Sachs,http://www.cs.cornell.edu/~guoys/\n
Nick Howe '01, - Smith,http://www.cs.smith.edu/~nhowe/\n
Yi-Cheng Huang '03,,http://www.cs.cornell.edu/people/ychuang/\n
Nikos Karampatziakis '12, - Microsoft,null/\n
Vera Kettnaker '00, - RPI,null/\n
Oren Kurland '06, - the Technion,http://iew3.technion.ac.il/~kurland/\n
Yunpeng Li '10, - EPFL postdoc,http://www.cs.cornell.edu/~yuli/\n
Scott Mardis '00, - MITRE,null/\n
Joshua Moore '15, - Facebook,http://www.cs.cornell.edu/~jlmo/\n
Art Munson '10, - Sandia Nat'l Labs,http://www.cs.cornell.edu/~mmunson/\n
Vincent Ng '04, - UTDallas,http://www.hlt.utdallas.edu/~vince/\n
Nam Nguyen '10, - Microsoft,http://www.cs.cornell.edu/~nhnguyen/\n
Alexandru Niculescu-Mizil '08, - IBM Goldstine fellow,http://www.niculescu-mizil.org/\n
Myle Ott '13, - Facebook,http://myleott.com/\n
Bo Pang '06, - Yahoo! Research,http://www.cs.cornell.edu/people/pabo/\n
David Pierce '02, - SUNY Buffalo,http://www.cse.buffalo.edu/faculty/drpierce/\n
Georgios Piliouras '10, - GATech postdoc,http://www.ece.gatech.edu/~georgios/\n
Filip Radlinski '08, - Microsoft Research Cambridge,http://radlinski.org/\n
Reba Schuller '03, - Alphatech,null\n
Benyah Shaparenko '09, - Google,http://www.benyah.net/work.html/\n
Yogi Sharma '10, - Waterloo postdoc,http://www.cs.cornell.edu/w8/~yogi/v/index.html/\n
Ruben Sipos '14, - Google,http://www.cs.cornell.edu/~rs/\n
Daria Sorokina '08, - CMU postdoc,http://www.cs.cornell.edu/~daria/\n
Anshumali Shrivastava '15, - Rice,http://www.cs.rice.edu/~as143/\n
Ves Stoyanov '09, - CI Fellow at JHU,http://www.cs.cornell.edu/~ves/\n
Kiri Wagstaff '02, - JHU postdoc,null/\n
Wei Wei '05,,http://www.cs.cornell.edu/~weiwei/\n
Chun-Nam Yu '10, - Alberta postdoc,http://www.cs.cornell.edu/~cnyu/\n
Ainur Yessenalina '12, - Amazon,http://lowrank.net/ainur/\n
Yisong Yue '10, - CMU postdoc,http://www.yisongyue.com/
