Class Number \t Name \t Link \t Image
ORIE 4740: \t  Statistical Data Mining \t http://people.orie.cornell.edu/woodard/orie4740.html \t ../img/departments/orie.jpg
ORIE 4741: \t  Learning with Big Messy Data \t https://people.orie.cornell.edu/mru8/orie4741/ \t ../img/departments/orie.jpg
CS 4758/6758: \t  Robot Learning \t http://www.cs.cornell.edu/courses/CS4758/ \t ../img/departments/cs.jpg
CS 4780/5780: \t  Machine Learning for Intelligent Systems \t http://www.cs.cornell.edu/courses/cs4780/ \t ../img/departments/cs.jpg
STSCI 4780: \t  Bayesian Data Analysis: Principles and Practice \t null \t ../img/departments/stsci.jpg
CS 4782/6782/BTRY 4790/6790: \t  Probabilistic Graphical Models \t http://compgen.cshl.edu/btry6790/index.php/Main_Page \t ../img/departments/cs.jpg
CS 4786/5786: \t  Machine Learning for Data Science \t http://www.cs.cornell.edu/courses/cs4786/ \t ../img/departments/cs.jpg
ECE 5960: \t  Advanced Topics in Electrical and Computer Engineering. \t null \t ../img/departments/ece.jpg
ORIE 6127: \t  Computational Issues in Large Scale Data-Driven Models \t null \t ../img/departments/orie.jpg
INFO 6150/CS 6788: \t  Advanced Topic Modeling \t http://mimno.infosci.cornell.edu/info6150/ \t ../img/departments/info.jpg
BTRY 6520: \t  Computationally Intensive Statistical Inference \t null \t ../img/departments/btry.jpg
ORIE 6740: \t  Statistical Learning Theory for Data Mining \t null \t ../img/departments/orie.jpg
ORIE 6741: \t  Bayesian Machine Learning \t https://people.orie.cornell.edu/andrew/orie6741/ \t ../img/departments/orie.jpg
ORIE 6750: \t  Optimal Learning \t http://people.orie.cornell.edu/pfrazier/ORIE6750_syllabus.pdf \t ../img/departments/orie.jpg
CS 6756: \t  Advanced Topics in Robot Learning: 3D Perception \t http://www.cs.cornell.edu/~asaxena/cs6756/ \t ../img/departments/cs.jpg
CS 6780: \t  Advanced Machine Learning \t http://www.cs.cornell.edu/Courses/CS6780/ \t ../img/departments/cs.jpg
ORIE 6780: \t  Bayesian Statistics and Data Analysis \t null \t ../img/departments/orie.jpg
CS 6783: \t  Machine Learning Theory \t http://www.cs.cornell.edu/Courses/cs6783/ \t ../img/departments/cs.jpg
CS 6784: \t  Advanced Topics in Machine Learning \t http://www.cs.cornell.edu/Courses/cs6784/ \t ../img/departments/cs.jpg
STSCI 6940: \t  Selection, Aggregation and Dimension Reduction in Large-scale Problems \t null \t ../img/departments/stsci.jpg
CS 7790: \t  Artificial Intelligence Seminar \t http://www.cs.cornell.edu/courses/cs7790/ \t ../img/departments/cs.jpg
MATH 7740: \t  Statistical Learning Theory \t null \t ../img/departments/math.jpg
CS 7792: \t  Counterfactual Machine Learning \t http://www.cs.cornell.edu/Courses/cs7792/2016fa/ \t ../img/departments/cs.jpg
CS 7794: \t  Natural Language Processing Seminar \t http://www.cs.cornell.edu/courses/cs7794/ \t ../img/departments/cs.jpg
Extracurricular: \t Machine Learning Discussion Group (MLDG) \t https://confluence.cornell.edu/display/ml/MLDG \t ../img/departments/extra.jpg
Extracurricular: \t Statistics seminar \t http://stat.cornell.edu/statistics_seminar/index.shtml \t ../img/departments/extra.jpg
