Name,Department,Link,Photo\n
Yoav Artzi,CS,http://yoavartzi.com/,../img/faculty/yoavartzi.jpg\n
Jayadev Acharya,ECE,http://www.ece.cornell.edu/people/profile.cfm?netid=ja679,../img/faculty/jayadevacharya.jpg\n
Siddhartha Banerjee,ORIE,http://people.orie.cornell.edu/sbanerjee/index.html,../img/faculty/siddharthabanerjee.jpg\n
Serge Belongie,CS,http://vision.cornell.edu/se3/people/serge-belongie/,../img/faculty/sergebelongie.jpg\n
Jacob Bien,Statistical Science,http://faculty.bscb.cornell.edu/~bien/,../img/faculty/jacobbien.jpg\n
Florentina Bunea,Statistical Science,https://courses.cit.cornell.edu/fb238/,../img/faculty/florentinabunea.jpg\n
Claire Cardie,CS,http://www.cs.cornell.edu/Info/People/cardie/,../img/faculty/clairecardie.jpg\n
Yudong Chen,ORIE,http://people.orie.cornell.edu/yudong.chen/,../img/faculty/yudongchen.jpg\n
Tanzeem Choudhury,IS,http://www.cs.cornell.edu/~tanzeem/,../img/faculty/tanzeemchoudhury.jpg\n
Morten Christiansen,Psychology,http://cnl.psych.cornell.edu/people.html,../img/faculty/mortenchristiansen.jpg\n
Cristian Danescu-Niculescu-Mizil,IS,http://www.cs.cornell.edu/~cristian/,../img/faculty/cristiandanescu.jpg\n
Shimon Edelman,Psychology,http://kybele.psych.cornell.edu/~edelman/,../img/faculty/shimonedelman.jpg\n
Silvia Ferrari,Mechanical and Aerospace Engineering,http://www.mae.cornell.edu/mae/people/profile.cfm?netid=sf375,../img/faculty/silviaferrari.jpg\n
Peter Frazier,ORIE,http://people.orie.cornell.edu/pfrazier/,../img/faculty/peterfrazier.jpg\n
Carla Gomes,CS/IS/AEM,http://www.cs.cornell.edu/gomes/,../img/faculty/carlagomes.jpg\n
John Hale,Linguistics,https://courses.cit.cornell.edu/jth99/,../img/faculty/johnhale.jpg\n
Haym Hirsh,CS/IS,http://infosci.cornell.edu/faculty/haym-hirsh,../img/faculty/haymhirsh.jpg\n
Giles Hooker,Statistical Science,http://faculty.bscb.cornell.edu/~hooker/,../img/faculty/gileshooker.jpg\n
John Hopcroft,CS,http://www.cs.cornell.edu/jeh/,../img/faculty/johnhopcroft.jpg\n
Dan Huttenlocher,CS,http://tech.cornell.edu/people/dan-huttenlocher,../img/faculty/danhuttenlocher.jpg\n
Thorsten Joachims,CS,http://www.cs.cornell.edu/People/tj/,../img/faculty/thorstenjoachims.jpg\n
Nathan Kallus,ORIE,http://tech.cornell.edu/people/nathan-kallus,../img/faculty/nkallus.jpg\n
Bobby Kleinberg,CS,http://www.cs.cornell.edu/~rdk/,../img/faculty/bobbykleinberg.jpg\n
Lillian Lee,CS,http://www.cs.cornell.edu/home/llee/,../img/faculty/lillianlee.jpg\n
David Matteson,Statistical Science,http://stat.cornell.edu/people/faculty/david-s-matteson,../img/faculty/davematteson.jpg\n
David Mimno,IS,http://mimno.infosci.cornell.edu/,../img/faculty/davidmimno.jpg\n
Mats Rooth,Linguistics,http://conf.ling.cornell.edu/mr249/,../img/faculty/matsrooth.jpg\n
David Ruppert,Statistical Science/ORIE,http://legacy.orie.cornell.edu/davidr/index.html,../img/faculty/davidruppert.jpg\n
Bart Selman,CS,http://www.cs.cornell.edu/home/selman/,../img/faculty/bartselman.jpg\n
Karthik Sridharan,CS,http://www.cs.cornell.edu/~sridharan/,../img/faculty/karthiksridharan.jpg\n
Madeleine Udell,ORIE,https://people.orie.cornell.edu/mru8/,../img/faculty/madeleineudell.jpg\n
Stanislav Volgushev,Statistical Science,http://stat.cornell.edu/people/faculty/stanislav-volgushev,../img/faculty/stanislavvolgushev.jpg\n
Fei Wang,Health Informatics,http://media.wix.com/ugd/7254d2_a4ab984763f843d1958110390d1bdce2.pdf,../img/faculty/feiwang.jpg\n
Marten Wegkamp,Statistical Science,http://www.math.cornell.edu/~marten/,../img/faculty/martenwegkamp.jpg\n
Kilian Weinberger,CS,http://www.cse.wustl.edu/~kilian/,../img/faculty/kilianweinberger.jpg\n
Martin Wells,Statistical Science,http://stat.cornell.edu/people/faculty/martin-wells,../img/faculty/marty.jpg\n
Andrew Wilson,ORIE,https://people.orie.cornell.edu/andrew/,../img/faculty/andrewgordon.jpg\n
Dawn Woodard,ORIE,http://people.orie.cornell.edu/woodard/,../img/faculty/dawnwoodard.jpg\n
Qing Zhao,ECE,https://www.ece.cornell.edu/people/profile.cfm?netid=qz16,../img/faculty/qingzhao.jpg
