Name,Link\n
Abhishek Anand,http://www.cs.cornell.edu/~aa755/\n
Shuo Chen,http://www.cs.cornell.edu/~shuochen/\n
Dylan Foster,null\n
Ashesh Jain,http://www.cs.stanford.edu/people/ashesh/\n
Yun Jiang,http://www.cs.cornell.edu/~yunjiang/\n
Jack Hessel,http://www.cs.cornell.edu/~jhessel/\n
Hema Koppula,http://www.cs.cornell.edu/~hema/\n
Igor Labutov,http://creativemachines.cornell.edu/igorlabutov\n
Moontae Lee,http://www.cs.cornell.edu/~moontae/\n
Ian Lenz,http://www.cs.cornell.edu/~ianlenz/\n
Vlad Niculae,http://vene.ro/\n
Jon Park,http://www.cs.cornell.edu/~jpark/\n
Karthik Raman,http://www.cs.cornell.edu/~karthik/\n
Xanda Schofield,http://www.cs.cornell.edu/~xanda/\n
Tobias Schnabel,http://www.cs.cornell.edu/~schnabts/\n
Adith Swaminathan,http://www.cs.cornell.edu/~adith/\n
Chenhao Tan,https://chenhaot.com/\n
Lu Wang,http://www.ccs.neu.edu/home/luwang/\n
Bishan Yang,http://www.cs.cmu.edu/~bishan/\n
Jason Yosinski,http://yosinski.com/\n
Jacob Gardner,http://www.cs.cornell.edu/~jgardner/\n
Matthew Kusner,http://mkusner.github.io/\n
